symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
ENTEF,ESE Entertainment Inc.,2.4500,0.0007,+0.03%,"52,822","171,352",103.959M,,171352,103959000
VRSRF,Versarien plc,0.5500,0.018,+3.38%,"2,433","36,381",103.776M,,36381,103776000
DFFN,Diffusion Pharmaceuticals Inc.,1.0200,0.0698,+7.35%,1.681M,7.779M,103.711M,,7779000,103711000
KNWN,"Know Labs, Inc.",3.9400,-0.01,-0.25%,"83,218","84,783",103.628M,,84783,103628000
ELMD,"Electromed, Inc.",12.00,-0.01,-0.08%,"14,885","63,520",103.62M,29.27,63520,103620000
QUISF,"Quisitive Technology Solutions, Inc.",1.2292,0.0445,+3.76%,"17,962","69,604",103.584M,,69604,103584000
RCAT,"Red Cat Holdings, Inc.",4.9800,-0.07,-1.39%,"10,982","54,006",103.193M,,54006,103193000
PGTK,Pacific Green Technologies Inc.,2.2000,0.01,+0.46%,"13,938","79,795",103.145M,,79795,103145000
BPT,BP Prudhoe Bay Royalty Trust,4.8176,0.3476,+7.78%,"164,799","410,040",103.097M,6.76,410040,103097000
RDNAF,DeFi Technologies Inc.,1.7896,-0.1604,-8.23%,"20,813","70,267",103.046M,,70267,103046000
AIKI,AIkido Pharma Inc.,1.1600,-0.02,-1.69%,3.567M,19.13M,103.038M,,19130000,103038000
VIZSF,Vizsla Silver Corp.,1.1248,0.0477,+4.43%,"24,511","136,819",103.011M,,136819,103011000
ATAO,Altair International Corp.,0.1885,-0.0015,-0.79%,"990,864",3.596M,102.974M,,3596000,102974000
NAII,"Natural Alternatives International, Inc.",16.19,0.09,+0.56%,"13,140","39,103",102.938M,28.81,39103,102938000
NWHM,The New Home Company Inc.,5.68,0.05,+0.89%,"28,111","79,651",102.649M,,79651,102649000
ACKRF,American Creek Resources Ltd.,0.2700,0.01,+3.85%,"101,990","137,788",102.486M,,137788,102486000
LGIQ,"Logiq, Inc.",7.49,0.99,+15.23%,"69,564","93,768",102.402M,,93768,102402000
OBLG,Oblong Inc.,3.8399,0.2799,+7.86%,"40,510","285,065",102.211M,,285065,102211000
EXD,Eaton Vance Tax-Advantaged Bond and Option Strategies Fund,10.48,0.13,+1.26%,"12,187","40,468",101.987M,,40468,101987000
ARC,"ARC Document Solutions, Inc.",2.3792,0.1392,+6.21%,"302,487","299,060",101.811M,16.99,299060,101811000
CCLP,CSI Compressco LP,2.1200,0.0,0.00%,"68,929","207,826",101.699M,,207826,101699000
VGZ,Vista Gold Corp.,0.9833,0.0104,+1.07%,"107,933","711,358",101.652M,245.82,711358,101652000
LUB,"Luby's, Inc.",3.2992,-0.0008,-0.02%,"23,759","81,211",101.424M,,81211,101424000
HSSHF,Digihost Technology Inc.,2.2700,-0.32,-12.36%,"83,731","238,507",101.207M,,238507,101207000
GENMF,Generation Mining Limited,0.7473,0.0093,+1.26%,"49,604","107,569",101.125M,,107569,101125000
FAM,First Trust/Aberdeen Global Opportunity Income Fund,9.97,0.06,+0.61%,"23,579","60,843",101.064M,997.00,60843,101064000
ERLFF,Entrée Resources Ltd.,0.5539,0.001,+0.18%,"8,640","85,454",100.981M,,85454,100981000
CMT,"Core Molding Technologies, Inc.",12.66,-0.16,-1.29%,"60,870","32,055",100.964M,33.33,32055,100964000
AZMCF,Arizona Metals Corp.,1.3500,0.04,+3.05%,"64,205","182,573",100.875M,,182573,100875000
LIVK,LIV Capital Acquisition Corp.,9.95,0.02,+0.20%,1,"27,923",100.818M,,27923,100818000
BWEN,"Broadwind, Inc.",5.95,-0.39,-6.15%,"630,999","854,353",100.779M,,854353,100779000
LWAY,"Lifeway Foods, Inc.",6.39,0.19,+3.10%,"6,754","38,618",100.672M,24.97,38618,100672000
CEMI,"Chembio Diagnostics, Inc.",4.9800,0.28,+5.96%,"309,117","996,501",100.477M,,996501,100477000
AEI,Alset EHome International Inc.,11.69,0.38,+3.36%,"164,937","385,808",100.183M,,385808,100183000
TNGZF,TNG Limited,0.0720,0.0,0.00%,"16,000","116,388",99.981M,,116388,99981000
GNT,"GAMCO Natural Resources, Gold & Income Trust",5.02,0.01,+0.20%,"77,412","80,191",99.961M,,80191,99961000
CCRC,"China Customer Relations Centers, Inc.",5.45,0.23,+4.41%,"126,473","582,556",99.896M,5.44,582556,99896000
ANXGF,Anaconda Mining Inc.,0.6196,-0.0061,-0.98%,"8,495","92,692",99.636M,51.63,92692,99636000
ECOR,"electroCore, Inc.",2.1900,0.06,+2.82%,"531,392",4.302M,99.545M,,4302000,99545000
AVCO,Avalon GloboCare Corp.,1.2200,0.04,+3.39%,"78,521","379,546",99.307M,,379546,99307000
VJET,voxeljet AG,16.81,1.46,+9.53%,"56,773","160,556",99.208M,,160556,99208000
RGLSF,Regulus Resources Inc.,0.9554,-0.0373,-3.76%,"5,100","45,159",99.198M,,45159,99198000
INND,"InnerScope Hearing Technologies, Inc.",0.0287,-0.0031,-9.78%,83.482M,292.008M,99.191M,,292008000,99191000
TOPS,Top Ships Inc.,2.4900,0.05,+2.05%,2.663M,5.982M,99.182M,,5982000,99182000
MEDIF,MediPharm Labs Corp.,0.3802,-0.0046,-1.20%,"628,610",1.357M,98.733M,,1357000,98733000
NRBO,"NeuroBo Pharmaceuticals, Inc.",4.4500,0.02,+0.45%,"100,268","421,711",98.662M,,421711,98662000
NVOS,"Novo Integrated Sciences, Inc.",4.1450,0.225,+5.74%,"65,200",3.215M,98.622M,,3215000,98622000
EVOK,"Evoke Pharma, Inc.",3.1300,0.23,+7.93%,"237,777","642,283",98.251M,,642283,98251000
DTEA,DAVIDsTEA Inc.,3.7399,0.1399,+3.89%,"74,247",1.005M,98.101M,,1004999,98101000
SINO,"Sino-Global Shipping America, Ltd.",6.78,0.06,+0.88%,1.424M,2.714M,97.937M,,2714000,97937000
PLGNF,Playgon Games Inc.,0.5500,0.0072,+1.33%,"317,430","119,597",97.72M,,119597,97720000
EXN,Excellon Resources Inc.,3.0900,-0.01,-0.32%,"13,814","78,251",97.472M,,78251,97472000
ITAC,"Industrial Tech Acquisitions, Inc.",10.07,0.01,+0.09%,"24,609","72,545",97.45M,,72545,97450000
TAOP,Taoping Inc.,10.22,-0.24,-2.29%,"138,839",2.538M,97.438M,,2538000,97438000
CYDVF,Cypress Development Corp.,0.9880,0.008,+0.82%,"76,642","440,961",97.058M,,440961,97058000
NMTC,NeuroOne Medical Technologies Corporation,2.7200,-0.03,-1.09%,"31,418","175,025",96.834M,,175025,96834000
VPER,"Viper Networks, Inc.",0.0163,-0.0021,-11.41%,55.388M,237.995M,96.64M,,237995000,96640000
DDEJF,Dundee Corporation,1.0800,-0.0055,-0.51%,"1,500","60,701",96.4M,,60701,96400000
ICNAF,Icanic Brands Company Inc.,0.4395,0.0336,+8.27%,"745,562",1.04M,96.329M,,1040000,96329000
GAXY,"Galaxy Next Generation, Inc.",0.0348,-0.0024,-6.45%,19.355M,106.672M,96.253M,,106672000,96253000
LOVFF,Cannara Biotech Inc.,0.1296,0.002,+1.57%,"104,750","60,424",95.729M,,60424,95729000
BXRX,"Baudax Bio, Inc.",1.3609,0.0509,+3.89%,1.015M,6.235M,95.457M,,6235000,95457000
ADXS,"Advaxis, Inc.",0.8215,0.0215,+2.69%,3.088M,14.459M,95.402M,,14459000,95402000
WYY,WidePoint Corporation,11.24,0.47,+4.36%,"111,393","303,083",95.076M,47.43,303083,95076000
TEUM,Pareteum Corporation,0.5868,0.0268,+4.79%,"182,454","486,431",95.067M,,486431,95067000
LXXGF,LexaGene Holdings Inc.,0.8418,0.0478,+6.02%,"153,552","889,569",94.899M,,889569,94899000
CPSS,"Consumer Portfolio Services, Inc.",4.2050,-0.095,-2.21%,"17,023","30,285",94.886M,4.67,30285,94886000
FOLGF,Falcon Oil & Gas Ltd.,0.0999,0.0019,+1.94%,"3,875","395,746",94.875M,,395746,94875000
TFECF,Thin Film Electronics ASA,0.1000,-0.01,-9.09%,"40,000","34,915",94.862M,,34915,94862000
DNCVF,Defiance Silver Corp.,0.5057,-0.0133,-2.56%,"118,863","320,295",94.734M,,320295,94734000
LNSR,"LENSAR, Inc.",8.90,0.01,+0.11%,"4,628","50,928",94.685M,,50928,94685000
PFMT,Performant Financial Corporation,1.7200,0.17,+10.97%,"640,415","642,630",94.182M,,642630,94182000
DSS,"Document Security Systems, Inc.",3.4000,0.1,+3.03%,"947,406",3.258M,94.078M,4.70,3258000,94078000
LPTH,"LightPath Technologies, Inc.",3.5400,0.06,+1.72%,"71,533","763,163",94.014M,75.32,763163,94014000
CNTMF,Cansortium Inc.,0.8163,0.0463,+6.01%,"261,916","490,635",93.96M,,490635,93960000
AZTEF,"TV Azteca, S.A.B. de C.V.",0.0314,0.0,0.00%,"2,200","28,195",93.702M,,28195,93702000
PGZ,Principal Real Estate Income Fund,13.64,0.08,+0.59%,"9,792","40,813",93.657M,,40813,93657000
ETTX,Entasis Therapeutics Holdings Inc.,2.6400,0.02,+0.76%,"51,413","573,098",93.655M,,573098,93655000
BTCY,"Biotricity, Inc.",2.4300,-0.0535,-2.15%,"34,251","142,081",93.501M,,142081,93501000
SYNL,Synalloy Corporation,10.15,0.4,+4.10%,"16,835","36,243",93.401M,,36243,93401000
PAIC,"Petra Acquisition, Inc.",10.05,0.09,+0.90%,"22,680","29,758",93.371M,,29758,93371000
EPSN,Epsilon Energy Ltd.,3.9070,0.017,+0.44%,"4,512","35,943",93.218M,68.54,35943,93218000
CLRB,"Cellectar Biosciences, Inc.",1.8350,0.075,+4.26%,"426,742",2.429M,92.675M,,2429000,92675000
TRIB,Trinity Biotech plc,4.4300,0.11,+2.55%,"73,657","480,331",92.594M,,480331,92594000
IPWR,Ideal Power Inc.,16.31,0.29,+1.81%,"344,186","709,408",92.411M,,709408,92411000
MACK,"Merrimack Pharmaceuticals, Inc.",6.90,0.45,+6.98%,"41,468","136,275",92.323M,69.00,136275,92323000
CBLI,"Cleveland BioLabs, Inc.",6.00,0.15,+2.56%,"55,917","482,221",92.257M,,482221,92257000
INTV,"Integrated Ventures, Inc.",0.6000,-0.037,-5.81%,1.797M,7.118M,92.19M,,7118000,92190000
SMM,Salient Midstream & MLP Fund,5.20,0.01,+0.10%,"13,767","109,536",92.068M,,109536,92068000
MITO,Stealth BioTherapeutics Corp,1.6604,0.0304,+1.87%,"81,926","554,135",92.044M,,554135,92044000
WLMS,Williams Industrial Services Group Inc.,3.6300,0.16,+4.61%,"172,484","60,895",91.971M,31.84,60895,91971000
PDEX,"Pro-Dex, Inc.",23.76,1.1,+4.85%,"15,262","38,476",91.729M,17.95,38476,91729000
FIOGF,Fiore Gold Ltd.,0.9279,-0.0121,-1.29%,"33,054","174,382",91.512M,4.44,174382,91512000
AIM,AIM ImmunoTech Inc.,2.2400,0.08,+3.70%,"495,880",3.927M,91.138M,,3927000,91138000
NOSOF,Noront Resources Ltd.,0.2084,0.0,0.00%,"4,999","37,330",91.13M,,37330,91130000
PTE,"PolarityTE, Inc.",1.3639,0.0839,+6.55%,1.353M,9.049M,91.112M,,9049000,91112000
REED,"Reed's, Inc.",1.0900,0.09,+9.00%,"572,124",1.436M,91.017M,,1436000,91017000
REED,"Reed's, Inc.",1.0900,0.09,+9.00%,"572,124",1.436M,91.017M,,1436000,91017000
SYN,"Synthetic Biologics, Inc.",0.7017,0.0344,+5.16%,11.486M,20.09M,90.979M,,20090000,90979000
RCGCF,RosCan Gold Corporation,0.3625,0.0258,+7.66%,"451,010","356,290",90.752M,,356290,90752000
FPOCF,FPX Nickel Corp.,0.6245,-0.0055,-0.87%,"37,087","105,520",90.584M,,105520,90584000
ODYY,"Odyssey Group International, Inc.",1.0000,-0.01,-0.99%,"36,375","185,988",90.57M,,185988,90570000
NUZE,"NuZee, Inc.",6.06,-0.02,-0.33%,"32,698","30,025",90.517M,,30025,90517000
AGCBF,Amarillo Gold Corporation,0.2373,-0.0008,-0.34%,"10,045","89,200",90.315M,,89200,90315000
TSRMF,Treasury Metals Inc.,0.8036,0.0194,+2.47%,"1,258","45,360",90.175M,,45360,90175000
OSIIF,Osino Resources Corp.,0.8650,0.0,0.00%,"19,930","76,224",90.049M,,76224,90049000
EDI,Stone Harbor Emerging Markets Total Income Fund,9.11,0.07,+0.77%,"13,446","55,038",89.99M,,55038,89990000
BKIRF,Black Iron Inc.,0.3642,0.0042,+1.17%,"20,500","52,516",89.924M,,52516,89924000
SMCE,"SMC Entertainment, Inc.",0.0072,0.0003,+4.35%,"35,000",1.769M,89.908M,,1769000,89908000
CODA,"Coda Octopus Group, Inc.",8.36,0.27,+3.34%,"15,367","50,001",89.886M,27.87,50001,89886000
SLBG,Slinger Bag Inc.,3.3600,-0.04,-1.18%,"7,326","59,023",89.869M,,59023,89869000
MEEC,Midwest Energy Emissions Corp.,1.1500,0.03,+2.68%,"55,362","376,463",89.755M,,376463,89755000
BSPE,Bespoke Capital Acquisition Corp.,9.96,-0.01,-0.14%,"199,347","342,437",89.603M,,342437,89603000
RELL,"Richardson Electronics, Ltd.",6.78,0.08,+1.19%,"38,471","121,723",89.548M,,121723,89548000
CWBR,"CohBar, Inc.",1.4650,0.005,+0.34%,"92,895","687,768",89.537M,,687768,89537000
ZGYH,Yunhong International,10.01,-0.01,-0.05%,"17,059","48,025",89.49M,,48025,89490000
MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",3.4296,0.0496,+1.47%,"79,536","305,166",89.485M,,305166,89485000
SSFT,Sonasoft Corp.,0.1890,0.005,+2.72%,"629,919",3.286M,89.254M,,3286000,89254000
AWRE,"Aware, Inc.",4.1500,-0.01,-0.24%,"12,893","78,991",89.201M,,78991,89201000
AMNF,"Armanino Foods of Distinction, Inc.",2.7800,-0.01,-0.36%,"4,313","29,423",89.142M,35.19,29423,89142000
RLH,Red Lion Hotels Corporation,3.4900,0.01,+0.29%,"12,036","300,940",89M,,300940,89000000
IRVRF,Irving Resources Inc.,1.5400,-0.04,-2.53%,"29,446","56,344",88.859M,,56344,88859000
EKSO,"Ekso Bionics Holdings, Inc.",7.01,0.37,+5.57%,"66,070","420,990",88.325M,,420990,88325000
SNWV,"SANUWAVE Health, Inc.",0.1890,0.009,+5.00%,"186,135","367,788",88.3M,,367788,88300000
SQIDF,SQI Diagnostics Inc.,0.2800,-0.015,-5.08%,"16,052","122,485",88.127M,,122485,88127000
BIEL,BioElectronics Corporation,0.0040,-0.0003,-6.98%,42.388M,124.287M,87.932M,,124287000,87932000
QLGN,"Qualigen Therapeutics, Inc.",3.2900,0.1,+3.13%,"250,199",1.999M,87.866M,,1999000,87866000
LQMT,"Liquidmetal Technologies, Inc.",0.0960,-0.0022,-2.22%,"605,572",1.337M,87.787M,,1337000,87787000
AXIM,"AXIM Biotechnologies, Inc.",0.7000,-0.01,-1.41%,"26,195","360,543",87.638M,,360543,87638000
CNEY,CN Energy Group. Inc.,5.65,0.75,+15.31%,"44,405","264,995",87.575M,,264995,87575000
LGORF,Largo Resources Ltd.,1.5350,0.135,+9.64%,"912,669","989,150",87.567M,,989150,87567000
VERB,"Verb Technology Company, Inc.",1.7150,-0.305,-15.10%,3.615M,1.696M,87.525M,,1696000,87525000
QUIK,QuickLogic Corporation,7.91,0.83,+11.65%,"144,080","497,548",87.496M,,497548,87496000
KTCC,Key Tronic Corporation,8.12,0.03,+0.37%,"10,975","76,390",87.369M,15.59,76390,87369000
GENGF,Gear Energy Ltd.,0.4010,0.016,+4.16%,"215,833","284,885",87.352M,200.50,284885,87352000
SCFR,"GamesGamesGames Technology, Inc.",0.0998,-0.0002,-0.20%,"9,851","271,400",87.1M,,271400,87100000
JP,Jupai Holdings Limited,2.5800,0.21,+8.86%,"46,019","248,285",86.983M,2.01,248285,86983000
OCUP,"Ocuphire Pharma, Inc.",7.99,-0.17,-2.09%,"52,575","95,225",86.945M,,95225,86945000
PME,Pingtan Marine Enterprise Ltd.,1.0800,0.01,+0.93%,"270,231","307,668",86.908M,14.79,307668,86908000
SYNC,"Synacor, Inc.",2.1800,0.0,0.00%,"591,270","410,715",86.801M,,410715,86801000
GECC,Great Elm Capital Corporation,3.9499,0.0799,+2.06%,"285,513","292,986",86.8M,,292986,86800000
HRCXF,Hurricane Energy plc,0.0450,0.0006,+1.24%,"72,441","603,433",86.724M,,603433,86724000
SALM,"Salem Media Group, Inc.",3.2400,0.03,+0.93%,"263,808","914,168",86.457M,,914168,86457000
NDRA,ENDRA Life Sciences Inc.,2.3000,-0.03,-1.29%,"668,628",3.161M,86.448M,,3161000,86448000
EGTYF,Eguana Technologies Inc.,0.3200,-0.0014,-0.44%,"170,284","571,551",86.242M,,571551,86242000
MSNVF,Mission Ready Solutions Inc.,0.4800,-0.0298,-5.85%,"130,260","563,928",85.968M,,563928,85968000
ISVLF,IMPACT Silver Corp.,0.6584,-0.0216,-3.18%,"56,761","333,728",85.766M,,333728,85766000
DMNXF,Sayona Mining Limited,0.0248,0.0038,+18.10%,2.213M,6.9M,85.686M,,6900000,85686000
SVRA,Savara Inc.,1.5797,-0.2103,-11.75%,3.563M,"545,905",85.676M,,545905,85676000
RQHTF,Reliq Health Technologies Inc.,0.5100,0.0204,+4.18%,"83,316","714,843",85.511M,,714843,85511000
SSVFF,Southern Silver Exploration Corp.,0.3950,0.035,+9.72%,"561,195","346,368",85.504M,,346368,85504000
BONXF,Bonterra Resources Inc.,0.9470,0.0232,+2.51%,"27,700","67,631",85.475M,,67631,85475000
QMXGF,QMX Gold Corporation,0.2207,0.0029,+1.36%,"22,541","402,105",85.474M,,402105,85474000
FBRKF,FBR Limited,0.0420,0.004,+10.53%,"5,282","96,893",85.453M,,96893,85453000
FBRKF,FBR Limited,0.0420,0.004,+10.53%,"5,282","96,893",85.453M,,96893,85453000
VSBGF,VSBLTY Groupe Technologies Corp.,0.6400,0.0411,+6.86%,"264,341","905,633",85.422M,,905633,85422000
CNET,ZW Data Action Technologies Inc.,2.7300,-0.1,-3.53%,1.234M,8.477M,85.38M,,8477000,85380000
FLWPF,The Flowr Corporation,0.2609,0.0053,+2.09%,"118,339","280,288",85.123M,,280288,85123000
PESI,"Perma-Fix Environmental Services, Inc.",7.00,0.0,0.00%,"2,897","25,638",85.077M,22.65,25638,85077000
IHTA,Invesco High Income 2024 Target Term Fund,9.69,0.1,+1.01%,"15,789","29,698",85.055M,,29698,85055000
OMEX,"Odyssey Marine Exploration, Inc.",6.96,0.2,+2.96%,"20,313","50,766",84.968M,,50766,84968000
PLTXF,PlantX Life Inc.,0.9600,-0.0181,-1.85%,"897,048","325,548",84.766M,,325548,84766000
LFT,"Lument Finance Trust, Inc.",3.3901,0.0101,+0.30%,"17,953","65,015",84.561M,,65015,84561000
RGRX,"RegeneRx Biopharmaceuticals, Inc.",0.6280,-0.002,-0.32%,"14,630","149,585",83.868M,,149585,83868000
ERDCF,Erdene Resource Development Corporation,0.3169,0.0059,+1.90%,"4,400","71,475",83.715M,,71475,83715000
TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc.",12.13,-0.01,-0.05%,"5,715","32,378",83.397M,,32378,83397000
NSPR,"InspireMD, Inc.",0.7072,0.0071,+1.01%,3.507M,19.324M,83.331M,,19324000,83331000
MVVYF,Moovly Media Inc.,0.5440,0.034,+6.66%,"561,505","693,729",83.308M,,693729,83308000
KRBP,"Kiromic BioPharma, Inc.",11.36,0.11,+0.98%,"11,400","76,420",83.303M,,76420,83303000
PIFYF,Pine Cliff Energy Ltd.,0.2615,0.0198,+8.19%,"4,000","25,120",83.11M,,25120,83110000
MMMB,"MamaMancini's Holdings, Inc.",2.3300,0.03,+1.30%,"10,645","56,146",82.929M,33.77,56146,82929000
ONVO,"Organovo Holdings, Inc.",11.65,0.3,+2.64%,"151,512","455,575",82.914M,,455575,82914000
GLMD,Galmed Pharmaceuticals Ltd.,3.5200,0.19,+5.71%,"145,433","385,713",82.804M,,385713,82804000
MOHO,ECMOHO Limited,2.3500,0.14,+6.33%,"73,037","132,885",82.672M,11.69,132885,82672000
CTHR,"Charles & Colvard, Ltd.",2.8300,0.12,+4.43%,"465,197","731,090",82.644M,,731090,82644000
STRM,"Streamline Health Solutions, Inc.",1.9800,0.03,+1.54%,"48,016","208,583",82.617M,,208583,82617000
PRKR,"ParkerVision, Inc.",1.5600,0.01,+0.65%,"39,727","148,953",82.491M,,148953,82491000
QYOUF,QYOU Media Inc.,0.2269,0.002,+0.91%,"28,467","387,348",82.308M,,387348,82308000
CLPS,CLPS Incorporation,4.3193,0.3593,+9.07%,"676,976",3.179M,82.171M,12.59,3179000,82171000
DVD,"Dover Motorsports, Inc.",2.2531,0.0231,+1.04%,"40,119","133,555",82.152M,10.94,133555,82152000
KNRLF,Kontrol Technologies Corp.,2.3800,-0.087,-3.53%,"3,431","85,555",82.141M,,85555,82141000
TRUFF,Red Light Holland Corp.,0.3100,0.0097,+3.23%,"441,954",1.67M,81.991M,,1670000,81991000
PPBT,Purple Biotech Ltd.,4.7200,0.11,+2.39%,"251,105","914,973",81.971M,,914973,81971000
DARE,"Daré Bioscience, Inc.",1.9700,-0.02,-1.01%,"650,393",3.193M,81.945M,,3193000,81945000
AAME,Atlantic American Corporation,4.0115,0.0615,+1.56%,"12,039",2.195M,81.892M,69.16,2195000,81892000
GPFT,"Grapefruit USA, Inc.",0.1620,0.0094,+6.16%,"780,912",1.801M,81.721M,,1801000,81721000
CRWS,"Crown Crafts, Inc.",8.18,-0.14,-1.68%,"7,391","25,338",81.648M,11.21,25338,81648000
NTIP,"Network-1 Technologies, Inc.",3.3900,0.01,+0.30%,"5,569","25,770",81.472M,,25770,81472000
NHTC,Natural Health Trends Corp.,7.13,0.05,+0.71%,"22,173","35,468",81.442M,101.86,35468,81442000
POAI,Predictive Oncology Inc.,1.7900,0.14,+8.48%,2.582M,4.627M,81.438M,,4627000,81438000
DTSS,Datasea Inc.,3.7900,0.24,+6.76%,"127,484",1.677M,81.373M,,1677000,81373000
MGPHF,Mason Graphite Inc.,0.5880,0.0188,+3.30%,"30,694","233,148",81.219M,32.67,233148,81219000
KOOYF,Kootenay Silver Inc,0.2649,-0.0036,-1.34%,"70,246","270,228",81.085M,,270228,81085000
KBNT,"Kubient, Inc.",6.85,0.13,+1.93%,"273,824",1.115M,80.666M,,1115000,80666000
UNQL,Unique Logistics International Inc.,0.2250,0.0051,+2.32%,"57,283",1.174M,80.512M,,1174000,80512000
AAU,Almaden Minerals Ltd.,0.6702,0.0154,+2.35%,1.138M,5.496M,80.488M,,5496000,80488000
CXDC,China XD Plastics Company Limited,1.1400,0.02,+1.79%,"499,140","455,171",80.426M,,455171,80426000
BTTR,Better Choice Company Inc.,1.6300,0.23,+16.43%,"825,276","132,515",80.098M,,132515,80098000
ICMB,"Investcorp Credit Management BDC, Inc.",5.76,-0.11,-1.96%,"125,072","46,798",80.08M,,46798,80080000
MNPR,Monopar Therapeutics Inc.,6.99,0.17,+2.49%,"18,467","255,350",80.051M,,255350,80051000
EEENF,88 Energy Limited,0.0084,0.001,+13.51%,76.808M,2.538M,79.989M,,2538000,79989000
SDH,"Global Internet of People, Inc.",3.4000,0.1,+3.03%,"28,981","286,790",79.968M,,286790,79968000
CATB,"Catabasis Pharmaceuticals, Inc.",3.4100,0.39,+12.91%,2.96M,6.503M,79.852M,,6503000,79852000
VMAR,Vision Marine Technologies Inc.,9.95,0.27,+2.79%,"38,185","367,903",79.703M,,367903,79703000
RGT,"Royce Global Value Trust, Inc.",14.23,0.2,+1.39%,"1,482","39,688",79.671M,,39688,79671000
NXTD,"Nxt-ID, Inc.",1.7100,-0.01,-0.58%,5.788M,33.646M,79.566M,,33646000,79566000
BPSR,"Organicell Regenerative Medicine, Inc.",0.0800,0.0051,+6.81%,"639,764","618,625",79.377M,,618625,79377000
DGLY,"Digital Ally, Inc.",1.9600,0.02,+1.03%,1.841M,8.299M,79.324M,,8298999,79324000
RYMDF,Relay Medical Corp.,0.4985,0.0006,+0.11%,"66,168","232,283",79.197M,,232283,79197000
ZBISF,Zenabis Global Inc.,0.1045,-0.0004,-0.38%,"655,648",2.486M,79.144M,,2486000,79144000
BVNNF,BevCanna Enterprises Inc.,0.7934,0.0004,+0.05%,"394,408","220,730",79.121M,,220730,79121000
AUVI,"Applied UV, Inc.",8.68,0.26,+3.12%,"214,207",2.619M,79.109M,,2619000,79109000
PULM,"Pulmatrix, Inc.",1.4100,0.08,+6.02%,2.12M,2.521M,79.108M,,2521000,79108000
MFD,Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund,9.25,0.03,+0.33%,"22,921","38,053",79.064M,,38053,79064000
GBS,GBS Inc.,6.65,0.42,+6.74%,"98,214","571,142",78.97M,,571142,78970000
MMTIF,Micromem Technologies Inc.,0.1985,0.0045,+2.32%,"106,840","325,430",78.921M,,325430,78921000
IGC,"India Globalization Capital, Inc.",1.7391,0.0391,+2.30%,"692,365",5.795M,78.897M,,5795000,78897000
BLITF,Interactive Games Technologies Inc.,0.5400,0.0488,+9.92%,"194,097","96,543",78.885M,,96543,78885000
AIRT,"Air T, Inc.",27.36,0.82,+3.07%,"4,941","113,958",78.862M,,113958,78862000
ALNA,"Allena Pharmaceuticals, Inc.",1.5620,0.072,+4.83%,"425,957",2.458M,78.492M,,2458000,78492000
BIOC,"Biocept, Inc.",5.86,0.26,+4.74%,"326,374","538,313",78.438M,,538313,78438000
FSTX,"F-star Therapeutics, Inc.",8.60,1.05,+13.91%,"75,270","52,268",78.006M,,52268,78006000
SRBCF,Sirona Biochem Corp.,0.3384,-0.0116,-3.31%,"37,500","41,111",77.78M,,41111,77780000
FSAM,Fifth Street Asset Management Inc.,0.0359,0.0,0.00%,3,"102,188",77.594M,,102188,77594000
RMBL,"RumbleON, Inc.",34.49,3.56,+11.51%,"23,399","59,673",77.314M,,59673,77314000
AGE,"AgeX Therapeutics, Inc.",2.0500,-0.1,-4.65%,"308,746","352,703",77.267M,,352703,77267000
HUML,"Humble Energy, Inc.",2.9100,0.41,+16.40%,"9,756","39,646",76.831M,,39646,76831000
SPAZF,Spanish Mountain Gold Ltd.,0.2306,0.0054,+2.40%,"39,961","259,033",76.802M,,259033,76802000
TC,TuanChe Limited,3.8173,0.0573,+1.52%,"5,253","43,781",76.783M,,43781,76783000
OCG,Oriental Culture Holding LTD,3.7900,0.35,+10.17%,"782,034",1.843M,76.766M,,1843000,76766000
EZGO,EZGO Technologies Ltd.,7.08,0.43,+6.47%,"147,050","880,641",76.737M,,880641,76737000
AZRX,"AzurRx BioPharma, Inc.",1.2500,-0.01,-0.79%,"829,795",8.193M,76.61M,,8193000,76610000
GPHOF,Graphite One Inc.,1.2250,0.045,+3.81%,"58,951","226,775",76.434M,,226775,76434000
BOMH,Boomer Holdings Inc.,0.4900,-0.005,-1.01%,"9,515","94,828",76.413M,,94828,76413000
BBGI,"Beasley Broadcast Group, Inc.",2.5980,0.028,+1.09%,"49,848","270,905",76.264M,,270905,76264000
KOREF,KORE Mining Ltd.,0.7240,0.0011,+0.15%,"4,195","103,182",76.235M,,103182,76235000
SNPW,Sun Pacific Holding Corp.,0.0788,0.0023,+3.01%,3.454M,49.561M,76.16M,,49561000,76160000
ARPO,"Aerpio Pharmaceuticals, Inc.",1.6150,0.025,+1.57%,"508,172",2.836M,76.085M,,2836000,76085000
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",8.24,0.13,+1.60%,"10,070","30,575",76.07M,,30575,76070000
BYFC,Broadway Financial Corporation,2.7100,0.05,+1.88%,"324,901",1.471M,75.984M,,1471000,75984000
SING,"SinglePoint, Inc.",0.0305,0.0023,+8.16%,58.242M,99.254M,75.792M,,99254000,75792000
KSPN,Kaspien Holdings Inc.,39.26,2.58,+7.03%,"6,173","25,030",75.622M,,25030,75622000
